date,account_value
2013-09-10,1222506.4754441455
2013-09-11,1230560.8682409823
2013-09-12,1228111.1836373599
2013-09-13,1233981.0118782923
2013-09-16,1241509.698731232
2013-09-17,1243666.0261875193
2013-09-18,1258084.1078092407
2013-09-19,1257610.191352999
2013-09-20,1234344.1331984047
2013-09-23,1233021.582755705
2013-09-24,1230964.4541056904
2013-09-25,1226718.9782947141
2013-09-26,1227516.4168581392
2013-09-27,1222641.5962210067
2013-09-30,1214237.5369504988
2013-10-01,1218297.0219843562
2013-10-02,1219083.408354191
2013-10-03,1208517.5951401256
2013-10-04,1213238.2168052066
2013-10-07,1203831.181809113
2013-10-08,1193180.8687301334
2013-10-09,1195073.7920435488
2013-10-10,1217160.7697203525
2013-10-11,1225309.3828696255
2013-10-14,1233853.0912579158
2013-10-15,1226614.5670141412
2013-10-16,1239094.0075678676
2013-10-17,1242580.0816124023
2013-10-18,1252844.6122576506
2013-10-21,1254467.0326105407
2013-10-22,1263560.9899597075
2013-10-23,1236225.194001593
2013-10-24,1241718.6938576873
2013-10-25,1254508.6201789
2013-10-28,1251327.0080840762
2013-10-29,1253029.7640091097
2013-10-30,1246812.4185056917
2013-10-31,1245019.4948912128
2013-11-01,1248526.5349722693
2013-11-04,1252162.9752655968
2013-11-05,1257039.0596746486
2013-11-06,1269793.4570643045
2013-11-07,1257539.686225464
2013-11-08,1270388.1019080202
2013-11-11,1268485.1601094287
2013-11-12,1264644.0967567828
2013-11-13,1272360.998070452
2013-11-14,1269454.1129144137
2013-11-15,1271913.6228429386
2013-11-18,1274691.1288371717
2013-11-19,1272002.153216349
2013-11-20,1261432.487995289
2013-11-21,1265258.8946991523
2013-11-22,1274406.2242336103
2013-11-25,1278052.3257400382
2013-11-26,1275923.2187616713
2013-11-27,1279310.7214378435
2013-11-29,1280083.606506737
2013-12-02,1277649.2115177081
2013-12-03,1272714.9028066562
2013-12-04,1274161.1550902866
2013-12-05,1270955.2817178061
2013-12-06,1287431.5357506382
2013-12-09,1292587.6238467228
2013-12-10,1290329.5317363609
2013-12-11,1275574.550880334
2013-12-12,1270946.9510947163
2013-12-13,1270899.8065423768
2013-12-16,1283180.0240059197
2013-12-17,1277893.4558850587
2013-12-18,1295586.7977915718
2013-12-19,1292254.8420883648
2013-12-20,1304307.585214252
2013-12-23,1311273.3262639935
2013-12-24,1320466.3180937055
2013-12-26,1328545.5819022134
2013-12-27,1325753.8177929462
2013-12-30,1325129.2018311084
2013-12-31,1328491.4512191776
2014-01-02,1318470.8944345114
2014-01-03,1319119.9578503573
2014-01-06,1309277.8866826862
2014-01-07,1317504.1133587
2014-01-08,1313334.9958890746
2014-01-09,1315858.1957687438
2014-01-10,1320272.8097109054
2014-01-13,1304707.8881021484
2014-01-14,1313344.1604970077
2014-01-15,1330933.3267583926
2014-01-16,1330172.3650897352
2014-01-17,1324135.7199578383
2014-01-21,1322918.9124349025
2014-01-22,1318603.1702137624
2014-01-23,1301696.2754662344
2014-01-24,1277397.1469776118
2014-01-27,1302622.9272999729
2014-01-28,1312363.4222227633
2014-01-29,1288285.2579220964
2014-01-30,1304487.768632561
2014-01-31,1301023.925832905
2014-02-03,1277848.3309078792
2014-02-04,1278721.9495867197
2014-02-05,1272223.847631062
2014-02-06,1292281.5889959682
2014-02-07,1307459.3675168974
2014-02-10,1307247.4141640647
2014-02-11,1320033.5754998096
2014-02-12,1325422.3974740757
2014-02-13,1329453.3111592906
2014-02-14,1335712.1737342915
2014-02-18,1332173.378841038
2014-02-19,1326211.732115986
2014-02-20,1335719.3021770366
2014-02-21,1335226.026617489
2014-02-24,1339065.4204991343
2014-02-25,1330323.393661198
2014-02-26,1335548.725904114
2014-02-27,1338929.7697955612
2014-02-28,1341013.2697464698
2014-03-03,1331368.017615107
2014-03-04,1344837.3108997834
2014-03-05,1337953.4006184877
2014-03-06,1346959.8845822632
2014-03-07,1342883.0696491883
